id,loan_limit,gender,approv_in_adv,credit_worthiness,open_credit,business_or_commercial,loan_amount,rate_of_interest,Interest_rate_spread,Upfront_charges,term,neg_ammortization,interest_only,lump_sum_payment,property_value,construction_type,occupancy_type,secured_by,income,credit_type,credit_score,co-applicant_credit_type,age,submission_of_application,ltv,region,defaulted,dtir1,credit_score_band
26262,CF,UNKNOWN,NOPRE,L1,NOPC,NOB/C,396500,3.99,0.31,396500,360,NEG_AMM,NOT_INT,NOT_LPSM,418000,SB,PR,HOME,5700,CRIF,547,EXP,25-34,TO_INST,94.86,SOUTH,0,38,500-549
50967,CF,MALE,NOPRE,L1,NOPC,NOB/C,316500,4.50,0.29,316500,360,NOT_NEG,NOT_INT,NOT_LPSM,558000,SB,IR,HOME,4020,CIB,791,CIB,35-44,NOT_INST,56.72,NORTH,0,43,750-799
28811,CF,UNKNOWN,NOPRE,L1,NOPC,NOB/C,476500,3.38,-0.36,476500,360,NOT_NEG,NOT_INT,NOT_LPSM,978000,SB,PR,HOME,9600,CRIF,757,EXP,55-64,NOT_INST,48.72,NORTH,0,31,750-799
73832,CF,UNKNOWN,NOPRE,L1,NOPC,NOB/C,286500,4.88,0.82,286500,360,NOT_NEG,NOT_INT,NOT_LPSM,388000,SB,PR,HOME,6300,CIB,873,CIB,35-44,TO_INST,73.84,SOUTH,0,28,850-900
152160,CF,MALE,NOPRE,L1,NOPC,NOB/C,476500,3.50,-0.03,476500,360,NOT_NEG,INT_ONLY,NOT_LPSM,508000,SB,PR,HOME,6120,CIB,870,CIB,35-44,NOT_INST,93.80,NORTH,0,40,850-900
131184,NCF,UNKNOWN,NOPRE,L1,NOPC,NOB/C,266500,4.00,-0.12,266500,360,NOT_NEG,NOT_INT,NOT_LPSM,508000,SB,PR,HOME,3720,CIB,689,689,55-64,NOT_INST,52.46,SOUTH,0,44,650-699
28472,CF,FEMALE,NOPRE,L1,NOPC,NOB/C,466500,4.00,0.17,466500,360,NOT_NEG,NOT_INT,NOT_LPSM,498000,SB,PR,HOME,10620,EXP,790,EXP,<25,NOT_INST,93.67,SOUTH,0,21,750-799
45366,CF,MALE,NOPRE,L1,NOPC,NOB/C,106500,3.99,0.39,106500,360,NOT_NEG,NOT_INT,NOT_LPSM,178000,SB,PR,HOME,3000,CRIF,732,CIB,55-64,TO_INST,59.83,CENTRAL,1,25,700-749
29401,CF,MALE,NOPRE,L1,NOPC,NOB/C,206500,3.13,0.13,206500,180,NOT_NEG,NOT_INT,NOT_LPSM,258000,SB,PR,HOME,8340,CRIF,760,CIB,35-44,NOT_INST,80.04,NORTH,0,41,750-799
67878,CF,UNKNOWN,NOPRE,L1,NOPC,NOB/C,156500,4.63,1.37,156500,360,NOT_NEG,NOT_INT,NOT_LPSM,388000,SB,IR,HOME,5400,EXP,543,EXP,35-44,TO_INST,40.34,NORTH,0,42,500-549
126860,CF,MALE,PRE,L1,NOPC,NOB/C,346500,3.88,0.49,346500,360,NOT_NEG,NOT_INT,NOT_LPSM,388000,SB,PR,HOME,6840,EXP,531,CIB,45-54,TO_INST,89.30,NORTH,0,49,500-549
112533,CF,MALE,NOPRE,L1,NOPC,NOB/C,166500,3.99,0.39,166500,360,NOT_NEG,NOT_INT,NOT_LPSM,198000,SB,PR,HOME,4440,CRIF,642,EXP,65-74,TO_INST,84.09,NORTH,1,48,600-649
131937,CF,FEMALE,NOPRE,L1,NOPC,NOB/C,306500,3.99,0.39,306500,360,NOT_NEG,NOT_INT,NOT_LPSM,418000,SB,PR,HOME,2340,EQUI,708,EXP,55-64,TO_INST,75.15,SOUTH,1,39,700-749
163002,CF,UNKNOWN,NOPRE,L1,NOPC,NOB/C,206500,3.99,0.39,206500,360,NOT_NEG,NOT_INT,NOT_LPSM,418000,SB,PR,HOME,2580,EQUI,866,EXP,65-74,TO_INST,75.15,SOUTH,1,39,850-900
156027,CF,MALE,NOPRE,L1,NOPC,NOB/C,256500,3.99,0.60,256500,360,NOT_NEG,NOT_INT,NOT_LPSM,318000,SB,PR,HOME,4860,CIB,817,CIB,35-44,TO_INST,80.66,NORTH,0,36,800-849
146788,CF,UNKNOWN,NOPRE,L1,NOPC,NOB/C,386500,3.50,0.20,386500,180,NOT_NEG,NOT_INT,NOT_LPSM,658000,SB,PR,HOME,14820,EXP,745,EXP,55-64,NOT_INST,58.74,SOUTH,0,23,700-749
84200,CF,MALE,NOPRE,L1,NOPC,NOB/C,286500,3.63,0.15,286500,360,NOT_NEG,NOT_INT,NOT_LPSM,478000,SB,PR,HOME,7920,EXP,628,CIB,35-44,NOT_INST,59.94,NORTH,0,23,600-649
162312,CF,FEMALE,NOPRE,L1,NOPC,NOB/C,426500,3.99,0.39,426500,180,NOT_NEG,NOT_INT,NOT_LPSM,898000,SB,PR,HOME,8340,CIB,575,CIB,65-74,TO_INST,47.49,NORTH,1,49,550-599
65641,CF,UNKNOWN,NOPRE,L1,NOPC,NOPC,356500,3.99,0.39,356500,360,NOT_NEG,NOT_INT,NOT_LPSM,998000,SB,IR,HOME,4740,EXP,890,EXP,65-74,NOT_INST,35.72,SOUTH,1,43,850-900
167335,CF,MALE,NOPRE,L1,NOPC,NOB/C,206500,3.99,0.39,206500,360,NOT_NEG,NOT_INT,LPSM,298000,SB,PR,HOME,8700,CIB,865,CIB,55-64,TO_INST,69.30,NORTH-EAST,1,12,850-900
139092,CF,UNKNOWN,NOPRE,L1,NOPC,NOB/C,236500,3.99,0.39,236500,360,NOT_NEG,NOT_INT,LPSM,418000,SB,PR,HOME,4080,EQUI,620,EXP,>74,TO_INST,75.15,SOUTH,1,39,600-649
98739,CF,UNKNOWN,NOPRE,L1,NOPC,NOB/C,206500,5.75,1.25,206500,360,NOT_NEG,NOT_INT,NOT_LPSM,258000,SB,PR,HOME,4740,CIB,803,EXP,35-44,TO_INST,80.04,SOUTH,0,45,800-849
113190,CF,UNKNOWN,NOPRE,L1,NOPC,NOB/C,106500,3.99,0.39,106500,360,NOT_NEG,NOT_INT,NOT_LPSM,178000,SB,PR,HOME,2640,CIB,618,CIB,65-74,TO_INST,59.83,SOUTH,1,28,600-649
140079,CF,UNKNOWN,NOPRE,L1,NOPC,B/C,296500,3.25,0.16,296500,360,NOT_NEG,NOT_INT,NOT_LPSM,308000,SB,PR,HOME,5760,CIB,771,EXP,35-44,NOT_INST,96.27,NORTH,0,39,750-799
134727,CF,UNKNOWN,NOPRE,L1,NOPC,NOB/C,446500,3.88,0.44,446500,360,NOT_NEG,NOT_INT,NOT_LPSM,518000,SB,PR,HOME,7920,CIB,570,CIB,45-54,TO_INST,86.20,NORTH-EAST,0,34,550-599
