id,loan_limit,gender,approv_in_adv,credit_worthiness,open_credit,business_or_commercial,loan_amount,rate_of_interest,Interest_rate_spread,Upfront_charges,term,neg_ammortization,interest_only,lump_sum_payment,property_value,construction_type,occupancy_type,secured_by,income,credit_type,credit_score,co-applicant_credit_type,age,submission_of_application,ltv,region,status,dtir1
26262,CF,UNKNOWN,NOPRE,L1,NOPC,NOB/C,396500,3.99,0.308,396500,360,NEG_AMM,NOT_INT,NOT_LPSM,418000,SB,PR,HOME,5700,CRIF,547,EXP,25-34,TO_INST,94.86,SOUTH,0,38
50967,CF,MALE,NOPRE,L1,NOPC,NOB/C,316500,4.5,0.2892,316500,360,NOT_NEG,NOT_INT,NOT_LPSM,558000,SB,IR,HOME,4020,CIB,791,CIB,35-44,NOT_INST,56.72,NORTH,0,43
28811,CF,UNKNOWN,NOPRE,L1,NOPC,NOB/C,476500,3.375,-0.3599,476500,360,NOT_NEG,NOT_INT,NOT_LPSM,978000,SB,PR,HOME,9600,CRIF,757,EXP,55-64,NOT_INST,48.72,NORTH,0,31
73832,CF,UNKNOWN,NOPRE,L1,NOPC,NOB/C,286500,4.875,0.8208,286500,360,NOT_NEG,NOT_INT,NOT_LPSM,388000,SB,PR,HOME,6300,CIB,873,CIB,35-44,TO_INST,73.84,SOUTH,0,28
152160,CF,MALE,NOPRE,L1,NOPC,NOB/C,476500,3.5,-0.0278,476500,360,NOT_NEG,INT_ONLY,NOT_LPSM,508000,SB,PR,HOME,6120,CIB,870,CIB,35-44,NOT_INST,93.80,NORTH,0,40
131184,NCF,UNKNOWN,NOPRE,L1,NOPC,NOB/C,266500,4,-0.1233,266500,360,NOT_NEG,NOT_INT,NOT_LPSM,508000,SB,PR,HOME,3720,CIB,689,EXP,55-64,NOT_INST,52.46,SOUTH,0,44
28472,CF,FEMALE,NOPRE,L1,NOPC,NOB/C,466500,4,0.1686,466500,360,NOT_NEG,NOT_INT,NOT_LPSM,498000,SB,PR,HOME,10620,EXP,790,EXP,<25,NOT_INST,93.67,SOUTH,0,21
45366,CF,MALE,NOPRE,L1,NOPC,NOB/C,106500,3.99,0.3904,106500,360,NOT_NEG,NOT_INT,NOT_LPSM,178000,SB,PR,HOME,3000,CRIF,732,CIB,55-64,TO_INST,59.83,CENTRAL,1,25
29401,CF,MALE,NOPRE,L1,NOPC,NOB/C,206500,3.125,0.1325,206500,180,NOT_NEG,NOT_INT,NOT_LPSM,258000,SB,PR,HOME,8340,CRIF,760,CIB,35-44,NOT_INST,80.04,NORTH,0,41
67878,CF,UNKNOWN,NOPRE,L1,NOPC,NOB/C,156500,4.625,1.3676,156500,360,NOT_NEG,NOT_INT,NOT_LPSM,388000,SB,IR,HOME,5400,EXP,543,EXP,35-44,TO_INST,40.34,NORTH,0,42
126860,CF,MALE,PRE,L1,NOPC,NOB/C,346500,3.875,0.4893,346500,360,NOT_NEG,NOT_INT,NOT_LPSM,388000,SB,PR,HOME,6840,EXP,531,CIB,45-54,TO_INST,89.30,NORTH,0,49
112533,CF,MALE,NOPRE,L1,NOPC,NOB/C,166500,3.99,0.3904,166500,360,NOT_NEG,NOT_INT,NOT_LPSM,198000,SB,PR,HOME,4440,CRIF,642,EXP,65-74,TO_INST,84.09,NORTH,1,48
131937,CF,FEMALE,NOPRE,L1,NOPC,NOB/C,306500,3.99,0.3904,306500,360,NOT_NEG,NOT_INT,NOT_LPSM,418000,SB,PR,HOME,2340,EQUI,708,EXP,55-64,TO_INST,75.15,SOUTH,1,39
163002,CF,UNKNOWN,NOPRE,L1,NOPC,NOB/C,206500,3.99,0.3904,206500,360,NOT_NEG,NOT_INT,NOT_LPSM,418000,SB,PR,HOME,2580,EQUI,866,EXP,65-74,TO_INST,75.15,SOUTH,1,39
156027,CF,MALE,NOPRE,L1,NOPC,NOB/C,256500,3.99,0.5954,256500,360,NOT_NEG,NOT_INT,NOT_LPSM,318000,SB,PR,HOME,4860,CIB,817,CIB,35-44,TO_INST,80.66,NORTH,0,36
146788,CF,UNKNOWN,NOPRE,L1,NOPC,NOB/C,386500,3.5,0.202,386500,180,NOT_NEG,NOT_INT,NOT_LPSM,658000,SB,PR,HOME,14820,EXP,745,EXP,55-64,NOT_INST,58.74,SOUTH,0,23
